date,home_team,away_team,result,b365_1,b365_x,b365_2
2025-03-09,Napoli,Fiorentina,1,1.55,4.0,6.25
2025-03-09,Empoli,Roma,2,3.9,3.3,2.0
2025-03-09,Juventus,Atalanta,2,2.5,3.25,2.88
2025-03-10,Lazio,Udinese,X,1.73,3.5,5.25
2025-03-14,Genoa,Lecce,1,2.15,2.9,4.2
2025-03-15,Monza,Parma,X,3.1,3.0,2.45
2025-03-15,Udinese,Verona,2,1.73,3.5,5.0
2025-03-15,Milan,Como,1,1.8,3.6,4.5
2025-03-15,Torino,Empoli,1,1.8,3.3,5.0
2025-03-16,Venezia,Napoli,X,5.75,4.33,1.53
2025-03-16,Bologna,Lazio,1,2.4,3.1,3.25
2025-03-16,Roma,Cagliari,1,1.55,4.2,5.75
2025-03-16,Fiorentina,Juventus,1,3.4,3.2,2.25
2025-03-16,Atalanta,Inter,2,2.55,3.3,2.8
2025-03-29,Como,Empoli,X,1.75,3.3,5.25
2025-03-29,Venezia,Bologna,2,5.0,3.5,1.75
2025-03-29,Juventus,Genoa,1,1.53,3.9,7.0
2025-03-29,Lecce,Roma,2,4.75,3.5,1.75
2025-03-30,Cagliari,Monza,1,1.67,3.5,5.5
2025-03-30,Fiorentina,Atalanta,1,3.75,3.3,2.05
2025-03-30,Inter,Udinese,1,1.4,4.33,8.5
2025-03-30,Napoli,Milan,1,1.91,3.7,3.75
2025-03-31,Verona,Parma,X,2.4,3.1,3.1
2025-03-31,Lazio,Torino,X,1.75,3.3,5.25
2025-04-04,Genoa,Udinese,1,2.45,2.88,3.4
2025-04-05,Monza,Como,2,5.0,3.8,1.7
2025-04-05,Parma,Inter,X,6.5,4.5,1.48
2025-04-05,Milan,Fiorentina,X,1.9,3.5,4.2
2025-04-06,Lecce,Venezia,X,2.3,3.1,3.4
2025-04-06,Empoli,Cagliari,X,2.45,3.0,3.1
2025-04-06,Torino,Verona,X,1.8,3.2,5.25
2025-04-06,Atalanta,Lazio,2,1.7,3.8,5.0
2025-04-06,Roma,Juventus,X,2.5,3.1,3.0
2025-04-07,Bologna,Napoli,X,2.9,3.0,2.7
2025-04-11,Udinese,Milan,2,4.0,3.6,1.91
2025-04-12,Venezia,Monza,1,1.73,3.6,5.0
2025-04-12,Inter,Cagliari,1,1.33,5.25,8.0
2025-04-12,Juventus,Lecce,1,1.33,4.5,10.0
2025-04-13,Atalanta,Bologna,1,1.95,3.5,3.9
2025-04-13,Fiorentina,Parma,X,1.73,3.8,4.75
2025-04-13,Verona,Genoa,X,3.0,2.9,2.63
2025-04-13,Como,Torino,1,1.91,3.5,4.1
2025-04-13,Lazio,Roma,X,2.8,3.2,2.63
2025-04-14,Napoli,Empoli,1,1.33,5.0,9.5
2025-04-19,Lecce,Como,2,3.75,3.3,2.05
2025-04-19,Monza,Napoli,2,13.0,5.0,1.29
2025-04-19,Roma,Verona,1,1.4,4.5,8.5
2025-04-20,Empoli,Venezia,X,2.25,3.0,3.6
2025-04-20,Bologna,Inter,1,3.4,3.1,2.3
2025-04-20,Milan,Atalanta,2,2.5,3.4,2.75
2025-04-23,Cagliari,Fiorentina,2,3.1,3.1,2.45
2025-04-23,Genoa,Lazio,2,3.3,3.2,2.3
2025-04-23,Parma,Juventus,1,4.75,3.6,1.75
2025-04-23,Torino,Udinese,1,2.4,2.9,3.3
2025-04-27,Como,Genoa,1,1.85,3.4,4.75
2025-04-27,Venezia,Milan,2,4.75,4.0,1.7
2025-04-27,Fiorentina,Empoli,1,1.83,3.5,4.5
2025-04-27,Inter,Roma,2,1.73,3.8,4.75
2025-04-27,Juventus,Monza,1,1.2,7.5,12.0
2025-04-27,Atalanta,Lecce,X,1.25,6.0,11.0
2025-04-27,Napoli,Torino,1,1.42,4.33,8.0
2025-04-28,Udinese,Bologna,X,4.5,3.5,1.85
2025-04-28,Lazio,Parma,X,1.53,4.5,5.75
2025-04-28,Verona,Cagliari,2,2.5,2.75,3.5
2025-05-02,Torino,Venezia,X,2.5,2.88,3.25
2025-05-03,Cagliari,Udinese,2,2.2,3.2,3.5
2025-05-03,Parma,Como,2,3.1,3.3,2.3
2025-05-03,Lecce,Napoli,2,7.0,3.8,1.55
2025-05-03,Inter,Verona,1,1.3,5.25,10.0
2025-05-04,Empoli,Lazio,2,4.33,3.6,1.83
2025-05-04,Monza,Atalanta,2,13.0,6.0,1.22
2025-05-04,Roma,Fiorentina,1,1.65,3.7,5.5
2025-05-04,Bologna,Juventus,X,2.4,3.1,3.2
2025-05-05,Genoa,Milan,2,4.75,3.7,1.8
2025-05-09,Milan,Bologna,1,2.3,3.4,3.0
2025-05-10,Como,Cagliari,1,1.73,3.8,4.75
2025-05-10,Lazio,Juventus,X,2.45,3.2,3.0
2025-05-10,Empoli,Parma,1,2.15,3.3,3.5
2025-05-11,Udinese,Monza,2,1.48,4.2,7.0
2025-05-11,Verona,Lecce,X,2.15,3.0,3.75
2025-05-11,Torino,Inter,2,5.75,4.0,1.57
2025-05-11,Napoli,Genoa,X,1.3,5.25,11.0
2025-05-12,Venezia,Fiorentina,1,3.1,3.2,2.38
2025-05-12,Atalanta,Roma,1,1.95,3.6,3.75
2025-05-17,Genoa,Atalanta,2,4.5,3.9,1.75
2025-05-18,Cagliari,Venezia,1,2.6,3.0,3.0
2025-05-18,Fiorentina,Bologna,1,2.75,3.0,2.75
2025-05-18,Inter,Lazio,X,1.62,4.2,5.0
2025-05-18,Juventus,Udinese,1,1.38,4.75,8.5
2025-05-18,Lecce,Torino,1,1.83,3.4,4.6
2025-05-18,Monza,Empoli,2,5.0,3.6,1.73
2025-05-18,Parma,Napoli,X,6.25,4.2,1.5
2025-05-18,Roma,Milan,1,2.3,3.6,2.9
2025-05-18,Verona,Como,X,3.5,3.3,2.15
2025-05-23,Como,Inter,2,5.0,4.2,1.65
2025-05-23,Napoli,Cagliari,1,1.2,7.0,12.0
2025-05-24,Bologna,Genoa,2,1.5,4.5,6.0
2025-05-24,Milan,Monza,1,1.22,7.0,11.0
2025-05-25,Atalanta,Parma,2,1.75,3.5,5.0
2025-05-25,Empoli,Verona,2,1.95,3.2,4.33
2025-05-25,Lazio,Lecce,2,1.53,3.7,7.5
2025-05-25,Torino,Roma,2,5.5,4.2,1.57
2025-05-25,Udinese,Fiorentina,2,3.7,3.6,2.0
2025-05-25,Venezia,Juventus,2,5.75,4.33,1.53
