date,home_team,away_team,b365_h,b365_x,b365_a,b365_ch,b365_cx,b365_ca
2023-01-04,Torino,Verona,1.83,3.4,4.5,1.65,3.8,5.5
2023-01-04,Lecce,Lazio,3.6,3.3,2.05,3.75,3.2,2.1
2023-01-04,Roma,Bologna,1.6,3.8,5.5,1.67,3.6,5.25
2023-01-04,Cremonese,Juventus,4.75,3.8,1.67,4.75,3.4,1.8
2023-01-04,Fiorentina,Monza,1.7,3.8,4.75,1.83,3.6,4.33
2023-01-04,Inter,Napoli,2.25,3.4,3.1,2.38,3.4,3.0
2023-01-04,Udinese,Empoli,1.6,4.2,5.75,1.7,4.0,4.75
2023-01-07,Fiorentina,Sassuolo,1.7,3.8,5.0,1.8,4.0,4.33
2023-01-07,Juventus,Udinese,1.75,3.8,4.5,1.7,3.7,5.0
2023-01-07,Monza,Inter,5.75,4.33,1.55,6.0,4.2,1.55
2023-01-08,Salernitana,Torino,3.7,3.2,2.15,3.75,3.2,2.1
2023-01-08,Lazio,Empoli,1.53,4.2,6.0,1.5,4.2,6.5
2023-01-08,Spezia,Lecce,2.6,3.1,2.9,2.38,3.1,3.3
2023-01-08,Sampdoria,Napoli,8.0,4.75,1.4,7.5,4.33,1.44
2023-01-08,Milan,Roma,1.83,3.6,4.33,1.85,3.6,4.2
2023-01-09,Verona,Cremonese,2.05,3.3,3.8,2.2,3.2,3.5
2023-01-09,Bologna,Atalanta,3.4,3.4,2.15,3.4,3.3,2.2
2023-01-13,Napoli,Juventus,1.91,3.5,4.0,1.95,3.4,3.8
2023-01-14,Cremonese,Monza,2.8,3.3,2.55,2.75,3.1,2.7
2023-01-14,Lecce,Milan,5.75,3.8,1.62,5.25,3.6,1.7
2023-01-14,Inter,Verona,1.3,5.5,9.5,1.33,5.0,8.5
2023-01-15,Sassuolo,Lazio,3.2,3.5,2.2,3.75,3.75,1.95
2023-01-15,Torino,Spezia,1.62,3.8,5.5,1.7,3.5,5.0
2023-01-15,Udinese,Bologna,1.91,3.4,4.2,1.85,3.3,4.33
2023-01-15,Atalanta,Salernitana,1.4,5.0,7.0,1.3,5.25,10.0
2023-01-15,Roma,Fiorentina,1.95,3.5,4.0,2.1,3.3,3.6
2023-01-16,Empoli,Sampdoria,2.2,3.2,3.5,2.05,3.2,3.8
2023-01-21,Verona,Lecce,2.38,3.1,3.2,2.2,3.0,3.75
2023-01-21,Salernitana,Napoli,9.5,5.75,1.29,9.0,5.5,1.3
2023-01-21,Fiorentina,Torino,2.1,3.3,3.6,1.83,3.4,4.5
2023-01-22,Sampdoria,Udinese,3.6,3.25,2.15,3.2,3.25,2.25
2023-01-22,Monza,Sassuolo,2.2,3.4,3.3,2.15,3.4,3.4
2023-01-22,Spezia,Roma,4.75,3.5,1.83,5.5,3.4,1.73
2023-01-22,Juventus,Atalanta,2.1,3.4,3.5,2.1,3.3,3.5
2023-01-23,Bologna,Cremonese,1.91,3.4,4.33,1.75,3.3,5.25
2023-01-23,Inter,Empoli,1.29,6.0,9.5,1.29,5.75,10.0
2023-01-24,Lazio,Milan,3.2,3.4,2.25,2.8,3.25,2.55
2023-01-27,Bologna,Spezia,1.85,3.4,4.5,1.85,3.4,4.5
2023-01-27,Lecce,Salernitana,1.8,3.4,4.75,1.8,3.5,4.75
2023-01-28,Empoli,Torino,3.25,3.1,2.4,3.1,3.0,2.5
2023-01-28,Cremonese,Inter,6.5,4.33,1.5,8.0,4.5,1.4
2023-01-28,Atalanta,Sampdoria,1.33,5.25,9.0,1.33,5.0,9.5
2023-01-29,Milan,Sassuolo,1.5,4.5,6.5,1.44,4.75,6.5
2023-01-29,Juventus,Monza,1.55,4.0,6.5,1.65,3.8,5.5
2023-01-29,Lazio,Fiorentina,2.1,3.4,3.6,2.0,3.4,3.75
2023-01-29,Napoli,Roma,1.73,3.6,5.25,1.75,3.5,5.0
2023-01-30,Udinese,Verona,1.8,3.75,4.33,1.91,3.4,4.2
2023-02-04,Cremonese,Lecce,2.63,3.1,2.8,2.63,3.0,2.88
2023-02-04,Roma,Empoli,1.5,4.2,6.5,1.5,4.2,6.5
2023-02-04,Sassuolo,Atalanta,3.75,3.6,1.91,3.8,3.75,1.91
2023-02-05,Spezia,Napoli,8.0,5.25,1.36,8.0,5.0,1.36
2023-02-05,Torino,Udinese,2.25,3.25,3.3,2.38,3.1,3.2
2023-02-05,Fiorentina,Bologna,1.83,3.5,4.5,1.8,3.6,4.5
2023-02-05,Inter,Milan,1.95,3.5,4.0,1.95,3.3,4.2
2023-02-06,Verona,Lazio,3.6,3.6,2.0,5.0,3.5,1.75
2023-02-06,Monza,Sampdoria,1.8,3.5,4.75,1.8,3.4,4.75
2023-02-07,Salernitana,Juventus,7.0,4.2,1.5,6.5,4.2,1.5
2023-02-10,Milan,Torino,1.8,3.5,4.75,1.7,3.6,5.25
2023-02-11,Empoli,Spezia,2.0,3.5,3.75,2.0,3.3,3.8
2023-02-11,Lecce,Roma,4.33,3.25,1.95,4.2,3.2,2.0
2023-02-11,Lazio,Atalanta,2.38,3.4,3.0,2.25,3.2,3.4
2023-02-12,Udinese,Sassuolo,2.0,3.6,3.6,2.0,3.4,3.6
2023-02-12,Bologna,Monza,2.2,3.2,3.5,2.3,3.1,3.3
2023-02-12,Juventus,Fiorentina,1.83,3.5,4.5,1.7,3.6,5.25
2023-02-12,Napoli,Cremonese,1.18,7.5,13.0,1.18,6.5,17.0
2023-02-13,Verona,Salernitana,1.85,3.4,4.5,1.75,3.6,5.0
2023-02-13,Sampdoria,Inter,7.0,4.5,1.44,9.5,4.75,1.36
2023-02-17,Sassuolo,Napoli,5.0,4.0,1.6,5.0,3.8,1.62
2023-02-18,Sampdoria,Bologna,3.25,3.1,2.38,3.5,3.1,2.25
2023-02-18,Monza,Milan,3.75,3.3,2.1,3.5,3.3,2.2
2023-02-18,Inter,Udinese,1.53,4.2,6.0,1.4,4.5,7.5
2023-02-19,Atalanta,Lecce,1.5,4.0,7.0,1.44,4.33,7.5
2023-02-19,Fiorentina,Empoli,1.6,4.0,5.75,1.65,4.0,5.25
2023-02-19,Salernitana,Lazio,5.5,3.75,1.7,4.75,3.5,1.73
2023-02-19,Spezia,Juventus,6.0,3.75,1.62,5.25,3.8,1.65
2023-02-19,Roma,Verona,1.65,3.6,5.75,1.75,3.3,5.25
2023-02-20,Torino,Cremonese,1.65,3.8,5.25,1.65,3.6,5.5
2023-02-25,Empoli,Napoli,7.0,4.75,1.44,7.0,4.5,1.44
2023-02-25,Lecce,Sassuolo,2.45,3.25,2.9,2.45,3.2,3.0
2023-02-26,Bologna,Inter,5.5,3.75,1.7,4.75,3.75,1.73
2023-02-26,Salernitana,Monza,3.6,3.3,2.05,3.6,3.25,2.05
2023-02-26,Udinese,Spezia,1.62,3.8,5.75,1.73,3.75,4.75
2023-02-26,Milan,Atalanta,2.15,3.4,3.4,2.2,3.3,3.3
2023-02-27,Verona,Fiorentina,3.25,3.25,2.25,3.5,3.25,2.15
2023-02-27,Lazio,Sampdoria,1.44,4.33,8.0,1.4,4.5,9.5
2023-02-28,Cremonese,Roma,5.25,3.4,1.75,5.5,3.3,1.75
2023-02-28,Juventus,Torino,1.73,3.4,5.5,1.73,3.4,5.5
2023-03-03,Napoli,Lazio,1.65,3.8,5.25,1.62,3.8,5.75
2023-03-04,Monza,Empoli,2.1,3.25,3.8,1.91,3.6,4.2
2023-03-04,Atalanta,Udinese,1.62,4.0,5.5,1.7,4.0,5.0
2023-03-04,Fiorentina,Milan,2.8,3.3,2.55,2.7,3.2,2.75
2023-03-05,Spezia,Verona,2.7,3.1,2.8,2.45,3.1,3.1
2023-03-05,Sampdoria,Salernitana,2.3,3.25,3.2,2.15,3.3,3.6
2023-03-05,Inter,Lecce,1.36,4.75,9.5,1.36,4.75,9.5
2023-03-05,Roma,Juventus,2.7,3.0,2.88,2.9,2.8,2.8
2023-03-06,Sassuolo,Cremonese,1.8,3.6,4.5,1.83,3.5,4.33
2023-03-06,Torino,Bologna,2.4,2.9,3.4,2.3,2.9,3.5
2023-03-10,Spezia,Inter,8.0,4.6,1.4,8.0,4.5,1.4
2023-03-11,Empoli,Udinese,3.0,3.25,2.4,3.0,3.4,2.38
2023-03-11,Napoli,Atalanta,1.67,4.0,5.0,1.67,3.8,5.0
2023-03-11,Bologna,Lazio,3.1,3.1,2.38,3.25,2.8,2.5
2023-03-12,Lecce,Torino,3.0,3.0,2.63,2.8,2.88,2.9
2023-03-12,Cremonese,Fiorentina,4.33,3.6,1.85,4.75,3.8,1.73
2023-03-12,Verona,Monza,2.5,3.2,2.9,2.5,3.2,3.0
2023-03-12,Roma,Sassuolo,1.67,3.6,5.5,1.7,3.6,5.25
2023-03-12,Juventus,Sampdoria,1.33,4.75,10.0,1.36,4.75,9.5
2023-03-13,Milan,Salernitana,1.25,6.0,11.0,1.25,6.0,11.0
2023-03-17,Sassuolo,Spezia,1.7,3.75,4.5,1.73,3.8,4.75
2023-03-17,Atalanta,Empoli,1.4,4.5,7.5,1.44,4.75,7.0
2023-03-18,Monza,Cremonese,1.8,3.5,4.5,1.95,3.3,4.0
2023-03-18,Salernitana,Bologna,3.4,3.25,2.2,3.4,3.2,2.2
2023-03-18,Udinese,Milan,3.5,3.4,2.15,3.6,3.3,2.1
2023-03-19,Sampdoria,Verona,2.88,3.1,2.45,2.88,3.1,2.5
2023-03-19,Fiorentina,Lecce,1.6,3.75,5.75,1.57,3.75,6.0
2023-03-19,Torino,Napoli,4.33,3.6,1.75,4.5,3.5,1.75
2023-03-19,Lazio,Roma,2.75,3.0,2.75,3.1,2.75,2.63
2023-03-19,Inter,Juventus,1.91,3.4,4.0,2.0,3.3,3.8
2023-04-01,Cremonese,Atalanta,5.5,3.8,1.67,6.0,4.2,1.53
2023-04-01,Inter,Fiorentina,1.75,3.8,4.5,1.8,3.5,4.75
2023-04-01,Juventus,Verona,1.4,4.2,9.0,1.53,3.8,6.5
2023-04-02,Bologna,Udinese,2.2,3.3,3.4,2.25,3.3,3.25
2023-04-02,Monza,Lazio,3.8,3.3,2.05,3.6,3.25,2.15
2023-04-02,Spezia,Salernitana,2.3,3.3,3.2,2.38,3.2,3.1
2023-04-02,Roma,Sampdoria,1.44,4.2,9.0,1.33,4.75,10.0
2023-04-02,Napoli,Milan,1.73,3.6,5.0,1.95,3.4,4.0
2023-04-03,Empoli,Lecce,2.45,3.1,3.1,2.6,2.9,3.0
2023-04-03,Sassuolo,Torino,2.4,3.3,3.0,2.5,3.25,2.9
2023-04-07,Salernitana,Inter,7.5,4.5,1.45,5.75,4.2,1.55
2023-04-07,Lecce,Napoli,5.75,3.6,1.65,6.0,3.5,1.65
2023-04-07,Milan,Empoli,1.36,4.75,9.0,1.36,4.75,9.0
2023-04-08,Udinese,Monza,2.0,3.5,3.8,1.91,3.5,4.0
2023-04-08,Fiorentina,Spezia,1.4,4.5,8.5,1.4,4.5,7.5
2023-04-08,Atalanta,Bologna,1.65,3.8,5.5,1.62,4.0,5.5
2023-04-08,Sampdoria,Cremonese,2.38,3.25,3.2,2.2,3.3,3.3
2023-04-08,Torino,Roma,3.4,3.0,2.38,3.25,2.88,2.55
2023-04-08,Verona,Sassuolo,2.63,3.3,2.7,2.45,3.3,2.88
2023-04-08,Lazio,Juventus,2.75,2.9,2.9,2.88,2.9,2.8
2023-04-14,Cremonese,Empoli,2.45,3.3,2.88,2.15,3.4,3.3
2023-04-14,Spezia,Lazio,5.25,3.6,1.7,4.75,3.5,1.8
2023-04-15,Bologna,Milan,3.1,3.1,2.45,2.8,3.0,2.75
2023-04-15,Napoli,Verona,1.53,4.0,6.5,1.5,4.2,7.0
2023-04-15,Inter,Monza,1.44,4.5,7.5,1.44,4.5,7.5
2023-04-16,Lecce,Sampdoria,1.95,3.2,4.33,1.7,3.5,5.5
2023-04-16,Torino,Salernitana,1.73,3.5,5.25,1.6,3.8,6.0
2023-04-16,Sassuolo,Juventus,3.8,3.5,2.0,3.2,3.4,2.2
2023-04-16,Roma,Udinese,1.85,3.4,4.5,1.85,3.25,4.75
2023-04-17,Fiorentina,Atalanta,2.4,3.4,2.9,2.38,3.4,3.0
2023-04-21,Verona,Bologna,2.75,3.0,2.8,2.7,2.9,2.9
2023-04-22,Salernitana,Sassuolo,3.1,3.5,2.25,3.2,3.6,2.15
2023-04-22,Lazio,Torino,1.83,3.4,4.75,1.91,3.3,4.5
2023-04-22,Sampdoria,Spezia,2.55,3.2,2.88,2.75,3.2,2.7
2023-04-23,Empoli,Inter,6.5,4.2,1.53,5.75,4.0,1.62
2023-04-23,Monza,Fiorentina,3.7,3.4,2.05,3.5,3.3,2.15
2023-04-23,Udinese,Cremonese,1.7,3.8,5.0,1.73,3.8,4.75
2023-04-23,Milan,Lecce,1.5,4.2,7.0,1.53,4.0,6.5
2023-04-23,Juventus,Napoli,2.88,3.1,2.6,3.0,3.0,2.55
2023-04-24,Atalanta,Roma,2.3,3.25,3.2,2.38,3.2,3.1
2023-04-28,Lecce,Udinese,2.45,3.0,3.2,2.05,3.1,3.8
2023-04-28,Spezia,Monza,2.8,3.3,2.55,2.63,3.4,2.6
2023-04-29,Roma,Milan,2.75,3.0,2.75,2.7,2.9,2.88
2023-04-29,Torino,Atalanta,2.88,3.3,2.45,3.25,3.25,2.25
2023-04-30,Inter,Lazio,1.8,3.6,4.5,1.8,3.5,4.75
2023-04-30,Cremonese,Verona,3.0,3.3,2.45,3.2,3.1,2.38
2023-04-30,Napoli,Salernitana,1.22,6.5,12.0,1.18,7.0,12.0
2023-04-30,Sassuolo,Empoli,1.75,3.8,4.5,2.1,3.5,3.4
2023-04-30,Fiorentina,Sampdoria,1.33,5.25,9.0,1.33,5.25,9.0
2023-04-30,Bologna,Juventus,3.4,3.3,2.2,3.5,3.2,2.2
2023-05-03,Atalanta,Spezia,1.36,5.0,8.0,1.36,5.25,7.0
2023-05-03,Juventus,Lecce,1.6,3.8,6.0,1.55,3.8,6.5
2023-05-03,Salernitana,Fiorentina,4.75,3.75,1.73,4.2,3.6,1.83
2023-05-03,Sampdoria,Torino,4.2,3.4,1.91,4.75,3.5,1.75
2023-05-03,Lazio,Sassuolo,1.67,4.0,5.0,1.67,4.2,5.0
2023-05-03,Milan,Cremonese,1.33,5.0,9.5,1.36,5.0,9.5
2023-05-03,Monza,Roma,3.75,3.1,2.15,4.0,3.2,2.05
2023-05-03,Verona,Inter,5.5,3.75,1.67,5.75,4.0,1.6
2023-05-04,Empoli,Bologna,2.9,3.2,2.55,2.75,3.1,2.8
2023-05-04,Udinese,Napoli,4.75,3.6,1.75,6.0,3.75,1.62
2023-05-06,Milan,Lazio,1.95,3.4,4.0,1.85,3.5,4.5
2023-05-06,Roma,Inter,3.1,3.1,2.45,3.2,3.1,2.45
2023-05-06,Cremonese,Spezia,2.35,3.4,3.0,2.45,3.4,2.8
