date,home_team,away_team,result,b365_1,b365_x,b365_2
2014-03-26,Chievo,Bologna,1,2.1,3.0,4.0
2014-03-27,Inter,Udinese,X,1.67,3.75,5.0
2014-03-29,Bologna,Atalanta,2,2.3,3.1,3.25
2014-03-29,Milan,Chievo,1,1.4,4.5,8.0
2014-03-30,Torino,Cagliari,1,1.85,3.4,4.33
2014-03-30,Verona,Genoa,1,2.2,3.2,3.4
2014-03-30,Sassuolo,Roma,2,7.0,3.75,1.53
2014-03-30,Napoli,Juventus,1,2.8,3.3,2.5
2014-03-30,Lazio,Parma,1,2.1,3.3,3.5
2014-03-30,Sampdoria,Fiorentina,X,2.88,3.2,2.5
2014-03-31,Livorno,Inter,X,4.0,3.5,1.91
2014-03-31,Udinese,Catania,1,1.73,3.5,5.0
2014-04-02,Roma,Parma,1,1.4,4.75,7.0
2014-04-05,Chievo,Verona,2,2.38,3.1,3.1
2014-04-05,Inter,Bologna,X,1.36,4.5,9.0
2014-04-06,Catania,Torino,2,2.5,3.2,2.88
2014-04-06,Parma,Napoli,1,3.0,3.25,2.38
2014-04-06,Lazio,Sampdoria,1,1.75,3.5,4.75
2014-04-06,Cagliari,Roma,2,6.0,3.6,1.62
2014-04-06,Atalanta,Sassuolo,2,1.8,3.6,4.33
2014-04-06,Fiorentina,Udinese,1,1.65,3.75,5.25
2014-04-07,Genoa,Milan,2,3.8,3.3,2.0
2014-04-07,Juventus,Livorno,1,1.14,7.5,17.0
2014-04-12,Roma,Atalanta,1,1.33,4.75,10.0
2014-04-12,Sassuolo,Cagliari,X,2.5,3.1,2.9
2014-04-13,Sampdoria,Inter,2,3.2,3.3,2.25
2014-04-13,Verona,Fiorentina,2,3.2,3.3,2.25
2014-04-13,Napoli,Lazio,1,1.62,4.0,5.25
2014-04-13,Torino,Genoa,1,1.83,3.4,4.5
2014-04-13,Livorno,Chievo,2,2.3,3.1,3.2
2014-04-13,Milan,Catania,1,1.33,5.25,8.0
2014-04-13,Bologna,Parma,X,3.1,3.3,2.3
2014-04-14,Udinese,Juventus,2,5.5,3.8,1.62
2014-04-19,Parma,Inter,2,2.4,3.3,2.88
2014-04-19,Milan,Livorno,1,1.25,5.5,12.0
2014-04-19,Lazio,Torino,X,1.8,3.3,4.75
2014-04-19,Juventus,Bologna,1,1.17,7.0,15.0
2014-04-19,Udinese,Napoli,X,3.5,3.5,2.05
2014-04-19,Fiorentina,Roma,2,3.1,3.4,2.25
2014-04-19,Chievo,Sassuolo,2,2.0,3.3,3.75
2014-04-19,Catania,Sampdoria,1,2.2,3.4,3.2
2014-04-19,Atalanta,Verona,2,2.05,3.1,4.0
2014-04-19,Genoa,Cagliari,2,2.2,3.1,3.5
2014-04-25,Roma,Milan,1,1.8,3.75,4.2
2014-04-26,Bologna,Fiorentina,2,3.4,3.4,2.1
2014-04-26,Inter,Napoli,X,2.25,3.4,3.1
2014-04-27,Verona,Catania,1,2.2,3.5,3.1
2014-04-27,Torino,Udinese,1,1.91,3.25,4.33
2014-04-27,Sampdoria,Chievo,1,2.4,3.1,3.1
2014-04-27,Atalanta,Genoa,X,2.2,3.25,3.3
2014-04-27,Cagliari,Parma,1,3.0,3.25,2.38
2014-04-27,Livorno,Lazio,2,3.1,3.4,2.25
2014-04-28,Sassuolo,Juventus,2,7.0,4.75,1.4
2014-05-04,Parma,Sampdoria,1,1.5,3.75,7.5
2014-05-04,Udinese,Livorno,1,1.83,3.6,4.2
2014-05-04,Milan,Inter,1,2.4,3.4,2.8
2014-05-04,Catania,Roma,1,6.5,4.5,1.44
2014-05-04,Chievo,Torino,2,2.75,3.2,2.6
2014-05-04,Genoa,Bologna,X,2.5,3.2,2.88
2014-05-05,Juventus,Atalanta,1,1.17,7.0,15.0
2014-05-05,Lazio,Verona,X,1.62,4.0,5.25
2014-05-06,Fiorentina,Sassuolo,2,1.65,4.0,4.75
2014-05-06,Napoli,Cagliari,1,1.44,4.33,7.0
2014-05-10,Inter,Lazio,1,1.73,3.75,4.5
2014-05-10,Verona,Udinese,X,2.2,3.5,3.1
2014-05-11,Torino,Parma,X,2.1,3.5,3.3
2014-05-11,Sassuolo,Genoa,1,1.53,3.8,6.5
2014-05-11,Sampdoria,Napoli,2,3.3,3.4,2.15
2014-05-11,Roma,Juventus,2,2.4,3.4,2.8
2014-05-11,Cagliari,Chievo,2,3.6,3.25,2.1
2014-05-11,Bologna,Catania,2,2.0,3.5,3.6
2014-05-11,Atalanta,Milan,1,5.5,3.8,1.62
2014-05-11,Livorno,Fiorentina,2,4.33,3.6,1.8
2014-05-17,Udinese,Sampdoria,X,1.73,3.8,4.5
2014-05-18,Lazio,Bologna,1,1.44,4.33,7.0
2014-05-18,Parma,Livorno,1,1.22,6.0,12.0
2014-05-18,Milan,Sassuolo,1,1.29,5.75,9.0
2014-05-18,Juventus,Cagliari,1,1.22,6.5,11.0
2014-05-18,Napoli,Verona,1,1.44,4.5,6.5
2014-05-18,Fiorentina,Torino,X,3.6,3.6,1.95
2014-05-18,Chievo,Inter,1,4.0,3.3,1.95
2014-05-18,Catania,Atalanta,1,2.25,3.4,3.1
2014-05-18,Genoa,Roma,1,4.5,3.8,1.73
2021-08-21,Inter,Genoa,1,1.33,5.25,9.0
2021-08-21,Verona,Sassuolo,2,2.62,3.3,2.62
2021-08-21,Empoli,Lazio,2,4.6,4.0,1.7
2021-08-21,Torino,Atalanta,2,5.5,4.33,1.55
