date,home_team,away_team,result,home_goals,away_goals,b365_1,b365_x,b365_2
2024-02-17,Atalanta,Sassuolo,H,3,0,1.36,5.5,8.0
2024-02-18,Lazio,Bologna,A,1,2,2.3,3.1,3.4
2024-02-18,Empoli,Fiorentina,D,1,1,3.75,3.3,2.05
2024-02-18,Udinese,Cagliari,D,1,1,1.91,3.6,4.0
2024-02-18,Frosinone,Roma,A,0,3,3.8,3.75,1.91
2024-02-18,Monza,Milan,H,4,2,4.75,3.5,1.8
2024-02-22,Torino,Lazio,A,0,2,2.4,2.9,3.25
2024-02-23,Bologna,Verona,H,2,0,1.55,3.8,7.0
2024-02-24,Sassuolo,Empoli,A,2,3,2.2,3.4,3.3
2024-02-24,Salernitana,Monza,A,0,2,3.0,3.1,2.5
2024-02-24,Genoa,Udinese,H,2,0,2.25,3.0,3.6
2024-02-25,Juventus,Frosinone,H,3,2,1.3,5.5,10.0
2024-02-25,Cagliari,Napoli,D,1,1,4.2,3.75,1.83
2024-02-25,Lecce,Inter,A,0,4,7.0,4.5,1.44
2024-02-25,Milan,Atalanta,D,1,1,2.38,3.4,3.0
2024-02-26,Roma,Torino,H,3,2,1.91,3.25,4.5
2024-02-26,Fiorentina,Lazio,H,2,1,2.25,3.1,3.5
2024-02-28,Sassuolo,Napoli,A,1,6,4.0,3.8,1.8
2024-02-28,Inter,Atalanta,H,4,0,1.62,4.0,5.5
2024-03-01,Lazio,Milan,A,0,1,3.5,3.2,2.2
2024-03-02,Udinese,Salernitana,D,1,1,1.65,3.8,5.75
2024-03-02,Monza,Roma,A,1,4,3.75,3.4,2.05
2024-03-02,Torino,Fiorentina,D,0,0,2.63,3.0,2.9
2024-03-03,Verona,Sassuolo,H,1,0,2.2,3.4,3.25
2024-03-03,Empoli,Cagliari,A,0,1,2.15,3.25,3.6
2024-03-03,Frosinone,Lecce,D,1,1,2.25,3.3,3.3
2024-03-03,Atalanta,Bologna,A,1,2,1.91,3.4,4.2
2024-03-03,Napoli,Juventus,H,2,1,2.38,3.1,3.3
2024-03-04,Inter,Genoa,H,2,1,1.3,5.75,9.5
2024-03-08,Napoli,Torino,D,1,1,1.75,3.6,5.0
2024-03-09,Cagliari,Salernitana,H,4,2,1.83,3.6,4.33
2024-03-09,Sassuolo,Frosinone,H,1,0,2.2,3.6,3.1
2024-03-09,Bologna,Inter,A,0,1,3.5,3.3,2.15
2024-03-09,Genoa,Monza,A,2,3,2.15,3.2,3.5
2024-03-10,Lecce,Verona,A,0,1,2.2,3.25,3.4
2024-03-10,Milan,Empoli,H,1,0,1.44,5.0,6.5
2024-03-10,Juventus,Atalanta,D,2,2,2.2,3.3,3.3
2024-03-10,Fiorentina,Roma,D,2,2,2.55,3.3,2.75
2024-03-11,Lazio,Udinese,A,1,2,1.91,3.5,4.0
2024-03-15,Empoli,Bologna,A,0,1,4.0,3.2,2.0
2024-03-16,Monza,Cagliari,H,1,0,2.05,3.5,3.6
2024-03-16,Udinese,Torino,A,0,2,2.8,2.9,2.8
2024-03-16,Salernitana,Lecce,A,0,1,2.9,3.2,2.5
2024-03-16,Frosinone,Lazio,A,2,3,3.5,3.4,2.15
2024-03-17,Juventus,Genoa,D,0,0,1.5,4.0,7.0
2024-03-17,Verona,Milan,A,1,3,5.25,3.75,1.7
2024-03-17,Roma,Sassuolo,H,1,0,1.36,4.75,8.0
2024-03-17,Inter,Napoli,D,1,1,1.57,4.0,6.0
2024-03-30,Napoli,Atalanta,A,0,3,2.1,3.6,3.4
2024-03-30,Genoa,Frosinone,D,1,1,1.95,3.6,3.8
2024-03-30,Torino,Monza,H,1,0,1.83,3.4,4.75
2024-03-30,Lazio,Juventus,H,1,0,3.1,3.1,2.45
2024-03-30,Fiorentina,Milan,A,1,2,2.88,3.3,2.5
2024-04-01,Bologna,Salernitana,H,3,0,1.3,5.5,10.0
2024-04-01,Cagliari,Verona,D,1,1,2.15,3.2,3.6
2024-04-01,Sassuolo,Udinese,D,1,1,2.75,3.25,2.6
2024-04-01,Lecce,Roma,D,0,0,4.5,3.5,1.83
2024-04-01,Inter,Empoli,H,2,0,1.22,7.0,12.0
2024-04-05,Salernitana,Sassuolo,D,2,2,3.25,3.5,2.2
2024-04-06,Milan,Lecce,H,3,0,1.36,4.75,8.5
2024-04-06,Roma,Lazio,H,1,0,2.2,3.1,3.6
2024-04-06,Empoli,Torino,H,3,2,3.5,3.2,2.25
2024-04-07,Frosinone,Bologna,D,0,0,4.2,3.5,1.91
2024-04-07,Monza,Napoli,A,2,4,4.0,3.8,1.85
2024-04-07,Cagliari,Atalanta,H,2,1,4.75,3.8,1.73
2024-04-07,Verona,Genoa,A,1,2,2.75,3.0,2.8
2024-04-07,Juventus,Fiorentina,H,1,0,1.83,3.4,4.75
2024-04-08,Udinese,Inter,A,1,2,6.5,4.5,1.5
2024-04-12,Lazio,Salernitana,H,4,1,1.33,5.0,9.5
2024-04-13,Lecce,Empoli,H,1,0,2.25,3.1,3.6
2024-04-13,Torino,Juventus,D,0,0,3.75,3.0,2.2
2024-04-13,Bologna,Monza,D,0,0,1.55,4.0,6.5
2024-04-14,Napoli,Frosinone,D,2,2,1.33,5.5,8.0
2024-04-14,Sassuolo,Milan,D,3,3,4.5,3.8,1.75
2024-04-14,Inter,Cagliari,D,2,2,1.18,8.0,12.0
